Date,Province,Cases,tsf,mst,rh,rfm,area,spd,sca
08/01/2023,Aurora,0,35975.42857,24.48571429,85.85714286,28.72897,3147,11.43165714,21.28571429
15/01/2023,Aurora,0,35344.42857,24.78571429,86.28571429,16.88811857,3147,11.23114286,21.5
22/01/2023,Aurora,0,34713.42857,24.68571429,86.42857143,7.483981429,3147,11.03062857,1.5
29/01/2023,Aurora,0,34082.42857,24.61428571,86.85714286,4.34299,3147,10.83012857,0.428571429
05/02/2023,Aurora,0,33451.42857,25.2,84.42857143,3.734178571,3147,10.62961429,0
12/02/2023,Aurora,0,32820.42857,25.28571429,84,4.341655714,3147,10.4291,0
19/02/2023,Aurora,0,32189.42857,25.37142857,84.42857143,10.72617,3147,10.22858571,3
26/02/2023,Aurora,0,31558.28571,25.24285714,83.85714286,4.197462857,3147,10.02807143,4.357142857
05/03/2023,Aurora,0,30927.28571,26.3,81.57142857,1.5753,3147,9.827557143,5.357142857
12/03/2023,Aurora,0,30296.28571,26.92857143,80.85714286,1.605874286,3147,9.627042857,3
19/03/2023,Aurora,0,29665.28571,26.65714286,81,1.83738,3147,9.426528571,1.357142857
26/03/2023,Aurora,0,29034.28571,26.7,80.42857143,1.617758571,3147,9.226028571,0.214285714
02/04/2023,Aurora,0,28429,26.78571429,81.85714286,1.625504286,3147,9.0337,0
09/04/2023,Aurora,0,28000.57143,27.6,83.28571429,2.19907,3147,8.897528571,0
16/04/2023,Aurora,0,27453.42857,27.61428571,82.71428571,8.863284286,3147,8.723671429,0
23/04/2023,Aurora,0,26906.28571,27.54285714,82.57142857,10.50013286,3147,8.549828571,0
30/04/2023,Aurora,0,26359.28571,27.55714286,82.57142857,7.92804,3147,8.375985714,0.285714286
07/05/2023,Aurora,0,25812.14286,28.42857143,81,5.03298,3147,8.202128571,0.5
14/05/2023,Aurora,0,25265,28.35714286,81.14285714,7.257678571,3147,8.0283,0.5
21/05/2023,Aurora,0,24717.85714,28.48571429,81.14285714,10.86729,3147,7.854428571,0.5
28/05/2023,Aurora,0,24170.85714,28.5,81.28571429,7.78598,3147,7.6806,0.5
04/06/2023,Aurora,0,23623.71429,28.25714286,81.42857143,7.507207143,3147,7.506728571,0.5
11/06/2023,Aurora,0,23076.57143,28.34285714,82.28571429,7.13551,3147,7.3329,0.5
18/06/2023,Aurora,0,22529.57143,28.11428571,81.85714286,1.46822,3147,7.159042857,0
25/06/2023,Aurora,0,21982.42857,28.12857143,82,4.870625714,3147,6.9852,0
02/07/2023,Aurora,0,21446.85714,28.21428571,82.28571429,6.837382857,3147,6.815028571,0.857142857
09/07/2023,Aurora,0,21293.85714,28.11428571,83.28571429,3.3271,3147,6.766328571,1.5
16/07/2023,Aurora,0,21314,27.95714286,83,10.48865,3147,6.772871429,1.5
23/07/2023,Aurora,0,21335,28.15714286,83,12.91054714,3147,6.7794,1.928571429
30/07/2023,Aurora,0,21355.14286,27.97142857,82.57142857,11.80374,3147,6.785928571,3
06/08/2023,Aurora,0,21376,29.31428571,83.71428571,5.230304286,3147,6.792471429,3
13/08/2023,Aurora,0,21396.28571,29.52857143,84,2.719755714,3147,6.798971429,3
20/08/2023,Aurora,1.714285714,21417,29.42857143,84.28571429,3.01682,3147,6.8055,3.071428571
27/08/2023,Aurora,2,21437.42857,29.41428571,83.42857143,9.19706,3147,6.812028571,5
03/09/2023,Aurora,2,21458,29.25714286,85.28571429,9.307208571,3147,6.818571429,5
10/09/2023,Aurora,2,21478.71429,28.74285714,87.14285714,7.00748,3147,6.8251,6.071428571
17/09/2023,Aurora,2.285714286,21499,28.88571429,87,5.038451429,3147,6.831628571,9
24/09/2023,Aurora,8.285714286,21519.85714,28.64285714,87,7.105072857,3147,6.838142857,10
01/10/2023,Aurora,11.71428571,21540,28.58571429,86.57142857,10.29813,3147,6.844671429,10.42857143
08/10/2023,Aurora,12,21509,28.1,86.57142857,5.77944,3147,6.8347,8.857142857
15/10/2023,Aurora,12,21438.28571,28.25714286,85.57142857,6.207742857,3147,6.8123,9.5
22/10/2023,Aurora,12,21368,28.27142857,86.28571429,7.067555714,3147,6.789985714,8.642857143
29/10/2023,Aurora,14,21297.85714,28.17142857,85.85714286,10.29907,3147,6.7676,15.5
05/11/2023,Aurora,14,21227,27.37142857,86.42857143,8.699601429,3147,6.7452,38
12/11/2023,Aurora,14,21157,26.98571429,86.71428571,7.482377143,3147,6.7229,39.64285714
19/11/2023,Aurora,21.28571429,21086.42857,26.94285714,87.57142857,7.37664,3147,6.7005,39.5
